I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
2362	Tsu	1886	9	1	2	51	    		 7.7	 7.7						9	USA	SC	SOUTH CAROLINA:  CHARLESTON	  32.900	  -80.000	150	      60	2					       5.000	2					      60	2					       6.000	3				
6980	Tsu	1891	11	29	23	21										6	USA	WA	WASHINGTON:  PUGET SOUND	  48.000	 -123.500	150																								
2416		1892	4	19	10	50	    									9	USA	CA	CALIFORNIA:  VACAVILLE,WINTERS	  38.500	 -122.500	150							        .250	1																
2418		1892	4	21	17	43			 6.2				6.2			9	USA	CA	CALIFORNIA:  WINTERS	  38.500	 -121.900	150								2												2				
6637	Tsu	1895	9	1	11	9			 4.3					4.3		6	USA	NY	NEW JERSEY: HIGH BRIDGE	  40.667	  -74.883	150																								
6532	Tsu	1895	10	31	11	8											USA	MO	MISSOURI:  CHARLESTON	  37.000	  -89.400	150																								
2532	Tsu	1898	3	31	7	43			 6.5		 6.5		6.2			8	USA	CA	CALIFORNIA:  SONOMA COUNTY	  38.200	 -122.400	150								2												2				
2533		1898	4	14			    									10	USA	CA	CALIFORNIA:  N COAST,MENDOCINO COUNTY	  39.000	 -124.000	150								1																
2540		1898	6	29	18	36	    		 7.6						 7.6		USA	AK	ALASKA:  ALEUTIAN ISLANDS:  NEAR ISLANDS	  52.000	  172.000	150																								
2553	Tsu	1899	9	4	0	22		25	 8.2		 8.2					11	USA	AK	ALASKA:  CAPE YAKATAGA	  60.000	 -142.000	150								1												1				
2554		1899	9	10	17	4		25	 7.8		 7.8					7	USA	AK	ALASKA:  CAPE YAKATAGA	  60.000	 -140.000	150																								
2557	Tsu	1899	9	10	21	41		60	 8.2	 8.2	 8.6					11	USA	AK	ALASKA:  SE ALASKA	  60.000	 -140.000	150								1												3				
2564	Tsu	1899	12	25	12	25			 6.4		 6.4		6.6			9	USA	CA	CALIFORNIA	  33.500	 -117.000	150	       6	1			         8	1		2																
6231	Tsu	1900	8	11	4	40	    										USA	AK	ALASKA:  SE. ALASKA	  58.600	 -137.500	150													       5	1										
2580		1900	10	9	12	25			 8.3		 8.3					8	USA	AK	ALASKA:  KODIAK ISLAND	  57.090	 -153.480	150								1												1				
7018	Tsu	1901	3	3	7	45			 6.4				6.4			8	USA	CA	CALIFORNIA:  SAN DIEGO	  36.000	 -120.500	150								1												1				
2603	Tsu	1901	12	31	9	2	 30.0		 7.8		 7.8				 7.8		USA	AK	ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS	  51.450	 -171.020	150								1																
2606		1902	1	1	5	20	    		 7.8						 7.8		USA	AK	ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS	  52.400	 -167.500	150																								
2619		1902	4	29	6	57	    									7	USA	CA	CALIFORNIA:  SOUTHERN	  34.500	 -120.500	150								2																
2656	Tsu	1903	6	2	13	17			 8.3		 8.3						USA	AK	ALASKA:  SOUTHWEST	  61.560	 -158.540	150																								
2690		1904	8	27	21	56			 8.3		 8.3	 7.8				6	USA	AK	ALASKA:  RAMPART	  64.660	 -148.080	150																								
