"m","train_accuracy","train_deviance","test_accuracy","test_deviance"
4,1,1.16524345731347e-10,0.599878,5.80011546913989
4,1,1.01654351607462e-10,0.59969,11.0609740629815
4,1,1.16524345731347e-10,0.722176,6.86302901895119
4,1,1.16524345731347e-10,0.571565,9.84549488095313
4,1,1.16524345731347e-10,0.543093,11.7758607200221
4,1,1.16524345731347e-10,0.503651,13.4704107366056
4,1,1.16524345731347e-10,0.573054,8.01000313928361
4,1,1.16524345731347e-10,0.718592,6.18985012974605
4,1,1.16524345731347e-10,0.800134,5.52250166640275
4,1,1.16524345731347e-10,0.592453,10.8601622279726
4,1,1.16524345731347e-10,0.474229,13.2835489683844
4,1,1.16524345731347e-10,0.4886,12.8143897921122
4,NA,1.16524345731347e-10,NA,11.047545386725
4,1,6.75964839677336e-11,0.800134,5.72123918186853
4,1,1.16524345731347e-10,0.520457,13.2502627590097
4,1,1.16524345731347e-10,0.559927,10.0703518876785
4,1,1.16524345731347e-10,0.800134,5.7990313143763
4,1,6.19215789768655e-11,0.529502,10.905853601671
4,1,1.16524345731347e-10,0.599878,5.80011546654454
4,NA,1.16524345731347e-10,NA,16.5834757293201
4,1,1.16524345731347e-10,0.749545,5.8175352263471
4,1,1.16524345731347e-10,0.509287,9.99833972747638
4,1,1.16524345731347e-10,0.740148,6.0009420275852
4,NA,1.16524345731347e-10,NA,11.047545386725
4,NA,1.16524345731347e-10,NA,11.047545386725
4,NA,1.16524345731347e-10,NA,11.047545386725
4,1,1.16524345731347e-10,0.512044,12.5154768011418
4,1,1.16524345731347e-10,0.461577,14.4518418206542
4,1,1.16524345731347e-10,0.477163,13.791639808877
4,1,1.16524345731347e-10,0.426454,15.7143865771547
4,1,1.16524345731347e-10,0.59969,11.060974062964
4,1,1.16524345731347e-10,0.537514,11.8451809936972
4,1,1.16524345731347e-10,0.52297,12.6571458746418
4,NA,1.16524345731347e-10,NA,11.047545386725
4,1,1.16524345731347e-10,0.317892,18.7727668120594
4,1,1.16524345731347e-10,0.723049,6.18231286003502
4,1,1.16524345731347e-10,0.480368,12.8736371956463
4,1,1.16524345731347e-10,0.538649,12.6360834746808
4,1,1.16524345731347e-10,0.520075,13.260817809076
4,1,1.16524345731347e-10,0.480357,10.5050352957277
4,NA,1.16524345731347e-10,NA,11.047545386725
4,1,1.16524345731347e-10,0.599666,9.62955744581
4,1,1.16524345731347e-10,0.458081,12.4630431622664
4,NA,1.16524345731347e-10,NA,11.047545386725
4,1,1.16524345731347e-10,0.59969,11.060974062964
4,1,1.16524345731347e-10,0.59969,11.3387180991033
4,1,1.16524345731347e-10,0.593453,10.9491826905204
4,1,1.16524345731347e-10,0.800134,5.52281153298702
5,1,2.92160295993538e-10,0.562975,12.0616836624902
5,1,8.32241386939154e-11,0.581128,10.191792210865
5,1,4.43574510462815e-11,0.562663,10.4762506589167
5,1,4.60997018345577e-11,0.430908,14.6307421415482
5,1,5.63822322176783e-11,0.720316,6.43476389621229
5,1,5.96817706381467e-11,0.468089,13.3446801231198
5,1,9.69623936739598e-11,0.5759,10.9262484777021
5,0.8,5.6571236585324e-11,0.399824,11.166569439113
5,NA,4.28668212042613e-11,NA,11.0475453866807
5,NA,4.28668212042613e-11,NA,11.0475453866807
5,0.8,4.96632512901038e-11,0.399824,6.18537850373053
5,NA,4.28668212042613e-11,NA,11.0475453866807
5,1,4.74235761778936e-11,0.578787,10.0726853068186
5,NA,4.28668212042613e-11,NA,11.0475453866807
5,1,8.03912492164198e-11,0.70279,7.4959691304882
5,NA,4.28668212042613e-11,NA,11.0475453866807
5,1,4.47810233347033e-11,0.522894,10.7321111352294
5,1,8.10744360572898e-11,0.800134,5.52250166871319
5,1,1.03702380020626e-10,0.497084,13.5747081826543
5,0.8,9.70505897898966e-11,0.399824,11.060974062964
5,NA,4.28668212042613e-11,NA,11.0475453866807
5,1,5.89405857470133e-11,0.430459,13.6838678143771
5,1,4.28668212042613e-11,0.480592,14.0397517962229
5,NA,4.28668212042613e-11,NA,11.0475453866807
5,1,7.60685292555853e-11,0.536463,11.6553093400536
5,1,5.21362064642212e-11,0.447695,14.9018551204154
5,1,5.04046138173829e-11,0.458699,13.7438140797132
5,1,5.56342083526237e-11,0.581991,11.0267191915866
5,1,7.22202297985795e-11,0.600043,9.79411505798244
5,1,5.18902254509609e-11,0.490003,12.681456863215
5,0.8,7.05121294702468e-11,0.399824,6.14445794323498
5,NA,4.28668212042613e-11,NA,11.0475453866807
5,1,5.4798476868249e-11,0.569345,9.55914117958913
5,1,4.67327954124892e-11,0.589972,11.16160921234
5,1,4.67234251296833e-11,0.576836,9.53919480388164
5,1,6.45114184308797e-11,0.497971,13.3545131521777
5,NA,4.28668212042613e-11,NA,16.5834757292907
5,1,8.04785127454537e-11,0.412883,15.9746997372877
5,1,5.07792474745638e-11,0.437678,15.2840334563547
5,0.8,1.20775540720538,0.603507,3.67389670526463
5,1,8.00579158550056e-11,0.486958,12.3604334123365
5,1,4.28668212042613e-11,0.502679,11.3387181311858
5,1,7.37594874087595e-11,0.414946,15.7236936231743
5,1,4.28668212042613e-11,0.800134,5.79903134447903
5,1,5.2080117996986e-11,0.439666,11.5177330902444
5,1,7.55421947237807e-11,0.717294,6.93302145581769
5,0.8,5.1404347446175e-11,0.399824,6.76284273744728
5,1,9.95624027697855e-11,0.566979,11.6822288892983
5,1,4.39360547949651e-11,0.534462,10.6775432559122
5,1,4.64614569048826e-11,0.60674,8.7982478736728
6,NA,4.28668212042613e-11,NA,11.0475453866807
6,1,8.96996181062023e-11,0.800134,5.52250166642127
6,1,7.74587061185746e-11,0.702157,7.695193424369
6,1,7.96905504584694e-11,0.58825,11.0764374451427
6,1,9.43346512050937e-11,0.441461,14.4535546345005
6,1,7.70230916108058e-11,0.560756,12.136760239102
6,0.833333333333333,1.24042027353335,0.587904,1.5789831748485
6,1,5.52571692122811e-11,0.582039,10.8520561442189
6,1,4.28668212042613e-11,0.800134,5.79903122946635
6,1,5.80455313458909e-11,0.52046,12.969167707612
6,1,7.36014952708957e-11,0.589332,10.8887816975343
6,1,1.4469133299798e-10,0.493409,13.7294270301825
6,1,8.924109599837e-11,0.458353,14.6361319823727
6,1,5.65489507084771e-11,0.578798,8.84259914563035
6,1,4.13525140063498e-11,0.581555,10.5910382242862
6,1,7.87081511111373e-11,0.521461,12.8290086689708
6,0.833333333333333,1.10995248046064,0.442101,3.53247728387893
