"m","value"
9,-2.50824439280702
9,-7.56456635294732
9,-2.13256101458332
9,-12.0239974955461
9,-2.03483841504329
9,-7.17243233914953
9,-11.9348249863407
9,-2.70910694600115
9,-11.5291279774764
9,-7.27828437358944
9,-2.48668242101276
9,-2.63332623162384
9,-1.32625754261406
10,-11.6177238216624
10,-2.35003663791845
10,-8.75826056872136
10,-1.42238671656755
10,-1.49616831085184
10,-12.7326116895777
10,-9.95308064415391
10,-3.25556710419452
10,-1.62344240891033
10,-1.27511205693637
10,-2.48059524978893
10,-1.70837001007786
10,-14.7341141745074
10,-2.94037487586824
10,-5.64019915889499
10,-2.02402999649536
10,-2.2900212101038
10,-11.7751699026173
10,-3.51020315395261
10,-7.0061820707629
10,-3.12822203665209
10,-5.16116774774403
10,-5.5225017048275
10,-1.5379059778431
10,-1.53847702541485
10,-1.91979556784709
10,-2.20135822495528
10,-3.79964576058665
10,-7.12234744480868
10,-1.66153357846067
10,-1.84474794696879
10,-16.7129259538444
10,-4.76476815417097
10,-11.075394527623
10,-1.46719371103362
10,-2.85978652629762
10,-5.52250166640235
10,-2.04109359769124
10,-6.19932368956046
10,-11.6048397023782
10,-12.0927276533178
10,-9.29227559257713
10,-7.41425248100947
10,-11.3270745695647
10,-6.14292296699435
10,-2.45784877831507
10,-10.4341276163618
10,-2.21493566564012
10,-1.51027246689516
11,-2.59002064764341
11,-2.49136271149852
11,-1.90095489408406
11,-1.86574670407105
11,-1.67229700140014
11,-2.48244237389116
11,-1.31191805379922
11,-11.6334352111493
11,-1.34027049535007
11,-1.57634539774316
11,-1.44348911338553
11,-1.90185641278867
11,-15.3673670082419
11,-1.46457762257514
11,-9.23287641873434
11,-8.16923816750612
11,-1.60910211170535
11,-3.99873103432465
11,-1.30983072349873
11,-1.3802282874918
11,-3.15469410256999
11,-3.92993310658761
11,-1.43658740606252
11,-1.41651403268241
11,-2.24121750072041
11,-14.1440129848999
11,-9.95355038597861
11,-3.89748552254853
11,-2.9484424613653
11,-1.35378809174737
11,-1.45860955288614
11,-2.22279025410891
11,-8.53918119099136
11,-1.87048640401631
11,-11.4300988391606
11,-3.80748048193157
11,-1.662868396318
11,-1.50945161397099
11,-1.68858477573359
11,-1.70122534213424
11,-10.3837985975593
11,-1.79345190172491
11,-3.67615418877469
11,-10.8227120298857
11,-1.56391859992475
11,-1.54822231982558
11,-1.46680056798907
12,-2.95704044634647
12,-1.64253404515721
12,-1.48843450084202
12,-1.93102431788843
12,-1.47090633696535
12,-1.57266700428026
12,-1.42979405541718
12,-2.42895398990813
12,-1.48428834112415
12,-7.12773280541977
12,-1.4941938968547
12,-1.33962213785139
12,-2.45749542219489
12,-1.85078420156375
12,-2.27254810233985
12,-6.29476200858021
12,-5.70422335427299
12,-1.35800479247876
12,-2.20387929877753
12,-12.4434678595115
12,-1.86087075446129
12,-1.27823473195101
12,-2.11929625954328
12,-1.74187538382038
12,-1.32238724550717
12,-1.66719154279686
12,-1.65756746658649
12,-1.7832399386067
