example_name,estimate_name,SpearmanR_all,SpearmanR_test,pick_auc_test,pick_KL_div_test,training_lists,test_lists,data_size,test_size,extra_info,score_name,p_continue,generative_noise_scale,scoring_noise_scale,run_i,rand_seed
uci wine example,observed score,0.4976439643557478,0.4926651877670275,0.72698865625,0.4056382379843578,100,2000,6497,6015,,quality,0.8,0.87,2.0,7,1716840369
uci wine example,Stan inspection model,0.3752432090309041,0.3681766457582701,0.7014483125000001,1.006047119199735,100,2000,6497,6015,"{""est_p_continue"": 0.71747186975}",quality,0.8,0.87,2.0,8,1965675193
uci wine example,Stan list utility model,0.3648325850927716,0.3567495441046215,0.7076030624999999,0.8399076082657857,100,2000,6497,6015,,quality,0.8,0.87,2.0,8,1965675193
uci wine example,Stan difference utility model,0.3826344531395936,0.3746860503458306,0.704277625,0.9512413680778494,100,2000,6497,6015,,quality,0.8,0.87,2.0,8,1965675193
uci wine example,"logistic differences, early stop=T",0.317361136948333,0.3123628224924932,0.726180125,0.4258836359609371,100,2000,6497,6015,,quality,0.8,0.87,2.0,8,1965675193
uci wine example,"logistic differences, early stop=F",0.3786544878255839,0.3704656539298976,0.74085065625,0.4038500025812951,100,2000,6497,6015,,quality,0.8,0.87,2.0,8,1965675193
uci wine example,logistic items,0.3699759131934209,0.3620417721995279,0.7392716874999999,0.4002960334139789,100,2000,6497,6015,,quality,0.8,0.87,2.0,8,1965675193
uci wine example,observed score,0.5090905688715492,0.5000470548242086,0.7488194687499999,0.3918244500849266,100,2000,6497,6015,,quality,0.8,0.87,2.0,8,1965675193
uci wine example,Stan inspection model,0.4123912720116926,0.4076837827450687,0.6855150625,1.1354913716953203,100,2000,6497,6015,"{""est_p_continue"": 0.8454815457499999}",quality,0.8,0.87,2.0,9,2138468723
uci wine example,Stan list utility model,0.3995900360096316,0.3950905231658397,0.6878698125,1.0178983677534887,100,2000,6497,6015,,quality,0.8,0.87,2.0,9,2138468723
