Time Period,Charge-off rate on all loans,Charge-off rate on business loans,Charge-off rate on consumer loans,Charge-off rate on credit card loans,Charge-off rate on other consumer loans,Charge-off rate on loans to finance agricultural production,Charge-off rate on lease financing receivables,Charge-off rate on loans secured by real estate,Charge-off rate on farmland loans,Charge-off rate on single family residential mortgages,Charge-off rate on commercial real estate loans (excluding farmland),Delinquency rate on all loans,Delinquency rate on business loans,Delinquency rate on consumer loans,Delinquency rate on credit card loans,Delinquency rate on other consumer loans,Delinquency rate on loans to finance agricultural production,Delinquency rate on lease financing receivables,Delinquency rate on loans secured by real estate,Delinquency rate on farmland loans,Delinquency rate on single-family residential mortgages,Delinquency rate on commercial real estate loans (excluding farmland)
1999Q1,0.63,0.5,2.46,5,1,0.29,0.31,0.07,0.04,0.1,0.03,2.16,1.85,3.78,4.64,3.24,3.13,1.2,1.99,2.46,1.95,1.88
1999Q2,0.58,0.51,2.14,4.47,0.97,0.37,0.32,0.08,0.06,0.11,0.03,2.14,1.89,3.62,4.45,3.16,3.17,1.3,1.95,2.34,1.92,1.83
1999Q3,0.58,0.53,2.26,4.5,1.06,0.3,0.28,0.1,0.07,0.15,0.04,2.19,1.97,3.55,4.54,3.02,2.87,1.32,1.99,2.38,2.21,1.57
1999Q4,0.61,0.62,2.22,4.49,0.99,0.24,0.36,0.09,0.06,0.13,0.03,2.04,1.92,3.5,4.52,2.94,2.67,1.3,1.8,2.03,1.97,1.46
2000Q1,0.59,0.6,2.26,4.58,1,0.2,0.3,0.1,-0.13,0.13,0.04,2.06,2.02,3.47,4.39,2.92,2.57,1.3,1.84,2.15,2,1.51
2000Q2,0.62,0.65,2.14,4.29,0.97,0.2,0.3,0.09,0.06,0.11,0.06,2.13,2.16,3.53,4.48,2.94,2.47,1.68,1.82,2.22,2,1.44
2000Q3,0.61,0.69,2.24,4.45,0.91,0.27,0.29,0.09,0.1,0.13,0.06,2.19,2.26,3.56,4.52,2.98,2.47,1.63,1.89,2.18,2.13,1.48
2000Q4,0.81,1.09,2.8,4.53,1.67,0.3,0.33,0.1,0.12,0.14,0.05,2.33,2.45,3.63,4.61,3.05,2.6,1.79,1.98,2.25,2.28,1.52
2001Q1,0.75,0.99,2.39,4.74,1.14,0.65,0.51,0.13,0.15,0.14,0.1,2.42,2.65,3.63,4.79,2.97,2.54,1.85,2.05,2.63,2.3,1.6
2001Q2,0.86,1.16,2.58,5.23,1.22,0.5,0.54,0.14,0.14,0.16,0.1,2.55,2.94,3.68,4.92,2.97,2.57,1.99,2.17,2.74,2.4,1.72
2001Q3,0.97,1.32,2.77,5.49,1.28,1.04,0.78,0.3,0.06,0.45,0.13,2.71,3.25,3.72,4.97,3.09,2.8,2.24,2.17,2.8,2.24,1.92
2001Q4,1.18,2.22,3.17,6.27,1.45,0.31,0.8,0.19,0.13,0.19,0.17,2.74,3.49,3.65,4.77,3.07,2.61,2.37,2.15,2.83,2.23,1.93
2002Q1,1.12,1.56,3.67,7.84,1.48,0.42,0.86,0.17,0.12,0.16,0.16,2.75,3.68,3.6,4.91,2.87,2.49,2.38,2.1,2.71,2.24,1.78
2002Q2,1.1,1.77,3.05,6.19,1.42,0.48,1.04,0.15,0.09,0.16,0.14,2.75,3.93,3.51,4.76,2.83,2.51,2.27,2.04,2.62,2.15,1.76
2002Q3,1.11,2.06,3.08,6.11,1.48,0.45,0.85,0.15,0.06,0.16,0.14,2.69,3.88,3.49,4.85,2.79,2.55,2.2,1.98,2.66,2.11,1.69
