"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2018/03/01","21:24","3.509","-","3.77"
"2018/03/01","21:30","3.326","-","3.56"
"2018/03/01","21:36","3.141","-","3.42"
"2018/03/01","21:42","2.956","-","3.25"
"2018/03/01","21:48","2.77","-","3.08"
"2018/03/01","21:54","2.584","-","2.9"
"2018/03/01","22:00","2.399","-","2.74"
"2018/03/01","22:06","2.215","-","2.52"
"2018/03/01","22:12","2.033","-","2.34"
"2018/03/01","22:18","1.853","-","2.15"
"2018/03/01","22:24","1.676","-","1.98"
"2018/03/01","22:30","1.502","-","1.8"
"2018/03/01","22:36","1.332","-","1.64"
"2018/03/01","22:42","1.166","-","1.47"
"2018/03/01","22:48","1.004","-","1.36"
"2018/03/01","22:54","0.848","-","1.17"
"2018/03/01","23:00","0.697","-","0.98"
"2018/03/01","23:06","0.551","-","0.84"
"2018/03/01","23:12","0.412","-","0.73"
"2018/03/01","23:18","0.28","-","0.61"
"2018/03/01","23:24","0.154","-","0.48"
"2018/03/01","23:30","0.034","-","0.39"
"2018/03/01","23:36","-0.078","-","0.3"
"2018/03/01","23:42","-0.183","-","0.19"
"2018/03/01","23:48","-0.28","-","0.11"
"2018/03/01","23:54","-0.37","-","0.02"
"2018/03/02","00:00","-0.452","-","-0.02"
"2018/03/02","00:06","-0.527","-","-0.13"
"2018/03/02","00:12","-0.594","-","-0.2"
"2018/03/02","00:18","-0.653","-","-0.25"
"2018/03/02","00:24","-0.704","-","-0.3"
"2018/03/02","00:30","-0.748","-","-0.38"
"2018/03/02","00:36","-0.784","-","-0.43"
"2018/03/02","00:42","-0.812","-","-0.46"
"2018/03/02","00:48","-0.833","-","-0.46"
"2018/03/02","00:54","-0.846","-","-0.46"
"2018/03/02","01:00","-0.852","-","-0.45"
"2018/03/02","01:06","-0.85","-","-0.48"
"2018/03/02","01:12","-0.841","-","-0.44"
"2018/03/02","01:18","-0.825","-","-0.47"
"2018/03/02","01:24","-0.803","-","-0.43"
"2018/03/02","01:30","-0.773","-","-0.41"
"2018/03/02","01:36","-0.736","-","-0.36"
"2018/03/02","01:42","-0.693","-","-0.3"
"2018/03/02","01:48","-0.644","-","-0.27"
"2018/03/02","01:54","-0.588","-","-0.23"
"2018/03/02","02:00","-0.527","-","-0.15"
"2018/03/02","02:06","-0.459","-","-0.1"
"2018/03/02","02:12","-0.386","-","-0.03"
"2018/03/02","02:18","-0.307","-","0.05"
"2018/03/02","02:24","-0.223","-","0.18"
"2018/03/02","02:30","-0.134","-","0.3"
"2018/03/02","02:36","-0.041","-","0.41"
"2018/03/02","02:42","0.057","-","0.49"
"2018/03/02","02:48","0.16","-","0.58"
"2018/03/02","02:54","0.267","-","0.67"
"2018/03/02","03:00","0.377","-","0.81"
"2018/03/02","03:06","0.491","-","0.93"
"2018/03/02","03:12","0.608","-","1.04"
"2018/03/02","03:18","0.728","-","1.21"
"2018/03/02","03:24","0.851","-","1.32"
"2018/03/02","03:30","0.977","-","1.48"
"2018/03/02","03:36","1.104","-","1.65"
"2018/03/02","03:42","1.234","-","1.78"
"2018/03/02","03:48","1.366","-","1.95"
"2018/03/02","03:54","1.499","-","2"
"2018/03/02","04:00","1.634","-","2.19"
"2018/03/02","04:06","1.77","-","2.34"
"2018/03/02","04:12","1.907","-","2.45"
"2018/03/02","04:18","2.044","-","2.59"
"2018/03/02","04:24","2.183","-","2.72"
"2018/03/02","04:30","2.321","-","2.91"
"2018/03/02","04:36","2.46","-","3"
"2018/03/02","04:42","2.599","-","3.12"
"2018/03/02","04:48","2.738","-","3.19"
"2018/03/02","04:54","2.877","-","3.27"
"2018/03/02","05:00","3.015","-","3.34"
"2018/03/02","05:06","3.152","-","3.5"
"2018/03/02","05:12","3.288","-","3.69"
"2018/03/02","05:18","3.424","-","3.89"
"2018/03/02","05:24","3.558","-","4"
"2018/03/02","05:30","3.69","-","4.1"
"2018/03/02","05:36","3.82","-","4.11"
"2018/03/02","05:42","3.948","-","4.27"
"2018/03/02","05:48","4.074","-","4.29"
"2018/03/02","05:54","4.196","-","4.6"
"2018/03/02","06:00","4.316","-","4.48"
"2018/03/02","06:06","4.432","-","4.73"
"2018/03/02","06:12","4.545","-","4.9"
"2018/03/02","06:18","4.653","-","4.83"
"2018/03/02","06:24","4.757","-","4.98"
"2018/03/02","06:30","4.856","-","5.01"
"2018/03/02","06:36","4.951","-","5.16"
"2018/03/02","06:42","5.039","-","5.22"
"2018/03/02","06:48","5.122","-","5.27"
"2018/03/02","06:54","5.199","-","5.5"
"2018/03/02","07:00","5.27","-","5.56"
"2018/03/02","07:06","5.334","-","5.6"
"2018/03/02","07:12","5.391","-","5.66"
"2018/03/02","07:18","5.441","-","5.69"
"2018/03/02","07:24","5.484","-","5.74"
"2018/03/02","07:30","5.52","-","5.74"
"2018/03/02","07:36","5.548","-","5.75"
"2018/03/02","07:42","5.568","-","5.72"
"2018/03/02","07:48","5.58","-","5.86"
"2018/03/02","07:54","5.585","-","5.77"
"2018/03/02","08:00","5.582","-","5.81"
"2018/03/02","08:06","5.571","-","5.79"
"2018/03/02","08:12","5.552","-","5.85"
"2018/03/02","08:18","5.525","-","5.74"
"2018/03/02","08:24","5.491","-","5.68"
"2018/03/02","08:30","5.449","-","5.66"
"2018/03/02","08:36","5.399","-","5.68"
"2018/03/02","08:42","5.343","-","5.62"
"2018/03/02","08:48","5.279","-","5.57"
"2018/03/02","08:54","5.209","-","5.39"
"2018/03/02","09:00","5.132","-","5.36"
"2018/03/02","09:06","5.048","-","5.26"
"2018/03/02","09:12","4.959","-","5.22"
"2018/03/02","09:18","4.864","-","5.16"
