"date","numeric_date","percent","tag"
2016-11-01,2016.83504449008,0.453814901855222,"matlab"
2016-12-01,2016.91718001369,0.45639495409291,"matlab"
2017-01-01,2017,0.465103560231542,"matlab"
2017-02-01,2017.0848733744,0.497391977132745,"matlab"
2017-03-01,2017.16153319644,0.532702643486529,"matlab"
2017-04-01,2017.24640657084,0.538676966701636,"matlab"
2017-05-01,2017.32854209446,0.526518755139863,"matlab"
2017-06-01,2017.41341546886,0.451509450840197,"matlab"
2017-07-01,2017.49555099247,0.418995136157458,"matlab"
2017-08-01,2017.58042436687,0.403237037812412,"matlab"
2017-09-01,2017.66529774127,0.378982878061265,"matlab"
2017-10-01,2017.74743326489,0.415546604750034,"matlab"
2017-11-01,2017.83230663929,0.439967901095263,"matlab"
2017-12-01,2017.9144421629,0.357700582888415,"matlab"
2018-01-01,2018,0.361138870250405,"matlab"
2018-02-01,2018.0848733744,0.354059562505938,"matlab"
2018-03-01,2018.16153319644,0.3424887032809,"matlab"
2018-04-01,2018.24640657084,0.365578233652461,"matlab"
2018-05-01,2018.32854209446,0.322350391944962,"matlab"
2018-06-01,2018.41341546886,0.303678712562389,"matlab"
2018-07-01,2018.49555099247,0.29086536648439,"matlab"
2018-08-01,2018.58042436687,0.271739653580668,"matlab"
2018-09-01,2018.66529774127,0.305184799342737,"matlab"
2018-10-01,2018.74743326489,0.328816723844836,"matlab"
2018-11-01,2018.83230663929,0.335308572442216,"matlab"
2018-12-01,2018.9144421629,0.318514867012235,"matlab"
2019-01-01,2019,0.278903680999869,"matlab"
2019-02-01,2019.0848733744,0.262331828432264,"matlab"
2019-03-01,2019.16153319644,0.289577942615559,"matlab"
2019-04-01,2019.24640657084,0.315998207843982,"matlab"
2019-05-01,2019.32854209446,0.303828628885479,"matlab"
2019-06-01,2019.41341546886,0.274055580035182,"matlab"
2019-07-01,2019.49555099247,0.258761642436929,"matlab"
2019-08-01,2019.58042436687,0.240210885170384,"matlab"
2019-09-01,2019.66529774127,0.237357564846757,"matlab"
2019-10-01,2019.74743326489,0.283448898322168,"matlab"
2019-11-01,2019.83230663929,0.268503509324832,"matlab"
2019-12-01,2019.9144421629,0.232088529854337,"matlab"
2020-01-01,2020,0.228922436164975,"matlab"
