name,sname,speed,code,i1,i2,i3,i4,i5,i6,phi,nodal
1S1L.4,SL4,59.528478762,DCXYZZB,4,3,-2,-1,0,0,180,x
2M1K.1N4,2MKN4,59.610616022,DCZYZZZ,4,3,0,-1,0,0,0,x
1S1T.4,ST4,59.95893321125,DDUZZAZ,4,4,-5,0,0,1,0,x
S4,S4,59.99999988,DDVZZZZ,4,4,-4,0,0,0,0,x
1S1K.4,SK4,60.08213714,DDXZZZZ,4,4,-2,0,0,0,0,x
K4,K4,60.1642744,DDZZZZZ,4,4,0,0,0,0,0,x
3S.1M4,3SM4,61.01589562,DFTZZZZ,4,6,-6,0,0,0,0,x
2S1K.1M4,2SKM4,61.09803288,DFVZZZZ,4,6,-4,0,0,0,0,x
2N1M1k.1S5,2NKMS5,70.904632016,EWBBZZA,5,-3,2,2,0,0,90,x
1M1N1o.5,MNO5,71.366869378,EXZAZZY,5,-2,0,1,0,0,270,x
2M1q.5,2MQ5,71.366869378,EXZAZZY,5,-2,0,1,0,0,270,x
3M.1k5,3MK5,71.911244,EYZZZZY,5,-1,0,0,0,0,270,x
2M1o.5,2MO5,71.911244,EYZZZZY,5,-1,0,0,0,0,270,x
2N1k.5,2NK5,71.920527756,EYZBZZA,5,-1,0,2,0,0,90,x
3M.1s5,3MS5,71.95231263,EYAZZZB,5,-1,1,0,0,0,180,x
3M.1p5,3MP5,71.99338126,EYBZZZA,5,-1,2,0,0,0,90,x
1S1N1o.5,NSO5,72.382765118,EZXAZZY,5,0,-2,1,0,0,270,x
xM5,xM5,72.4602605,EZZZZZA,5,0,0,0,0,0,90,g
M5,M5,72.4602605,EZZZZZB,5,0,0,0,0,0,180,g
aM5,aM5,72.464902378,EZZAZZA,5,0,0,1,0,0,90,g
1M1N1k.5,MNK5,72.464902378,EZZAZZA,5,0,0,1,0,0,90,x
MB5,MB5,72.50132913,EZAZZZA,5,0,1,0,0,0,90,x
1M1S1o.5,MSO5,72.92713974,EAXZZZY,5,1,-2,0,0,0,270,x
2M1p.5,2MP5,72.92713974,EAXZZZY,5,1,-2,0,0,0,270,x
2M1s.5,2MS5,72.96820837,EAYZZZB,5,1,-1,0,0,0,180,x
3M.1o5,3MO5,73.009277,EAZZZZA,5,1,0,0,0,0,90,x
2M1k.5,2MK5,73.009277,EAZZZZA,5,1,0,0,0,0,90,x
1S1N1k.5,NSK5,73.480798118,EBXAZZA,5,2,-2,1,0,0,90,x
3M.1q5,3MQ5,73.553651622,EBZYZZA,5,2,0,-1,0,0,90,x
1M1S1p.5,MSP5,73.94303548,ECVZZZY,5,3,-4,0,0,0,270,x
1M1S1k.5,MSK5,74.02517274,ECXZZZZ,5,3,-2,0,0,0,0,x
x1M1S1k.5,xMSK5,74.02517274,ECXZZZA,5,3,-2,0,0,0,90,x
3k1M.5,3KM5,74.10731,ECZZZZY,5,3,0,0,0,0,270,x
2S1p.5,2SP5,74.95893122,EETZZZY,5,5,-6,0,0,0,270,x
2S1k.5,2SK5,75.04106848,EEVZZZA,5,5,-4,0,0,0,90,x
1S1K1k.5,(SK)K5,75.12320574,EEXZZZA,5,5,-2,0,0,0,90,x
2M2N.1K6,2(MN)K6,84.765530356,FVZBZZZ,6,-4,0,2,0,0,0,x
5M.1S1K6,5MKS6,84.83838386,FVBZZZZ,6,-4,2,0,0,0,0,x
2M2N.1S6,2(MN)S6,84.847667616,FVBBZZZ,6,-4,2,2,0,0,0,x
5M.2S6,5M2S6,84.92052112,FVDZZZZ,6,-4,4,0,0,0,0,x
3M1N.1K6,3MNK6,85.309904978,FWZAZZZ,6,-3,0,1,0,0,0,x
N6,N6,85.319188734,FWZCZZZ,6,-3,0,3,0,0,0,x
3M1N.1S6,3MNS6,85.392042238,FWBAZZZ,6,-3,2,1,0,0,0,x
3N1K.1S6,3NKS6,85.401325994,FWBCZZZ,6,-3,2,3,0,0,0,x
3M1V.1S6,3MnuS6,85.464895742,FWDYZZZ,6,-3,4,-1,0,0,0,x
4M.1K6,4MK6,85.8542796,FXZZZZZ,6,-2,0,0,0,0,0,x
2N1M.6,2NM6,85.863563356,FXZBZZZ,6,-2,0,2,0,0,0,x
4M.1S6,4MS6,85.93641686,FXBZZZZ,6,-2,2,0,0,0,0,x
2N1M1K.1S6,2NMKS6,85.945700616,FXBBZZZ,6,-2,2,2,0,0,0,x
2M1S1N.1K6,2MSNK6,86.325800718,FYXAZZZ,6,-1,-2,1,0,0,0,x
2M1N.6,2MN6,86.407937978,FYZAZZZ,6,-1,0,1,0,0,0,x
2M1V.6,2Mnu6,86.480791482,FYBYZZZ,6,-1,2,-1,0,0,0,x
2M1N1K.1S6,2MNKS6,86.490075238,FYBAZZZ,6,-1,2,1,0,0,0,x
3M1S.1K6,3MSK6,86.87017534,FZXZZZZ,6,0,-2,0,0,0,0,x
MA6,MA6,86.91124397,FZYZZZZ,6,0,-1,0,0,0,0,x
M6,M6,86.9523126,FZZZZZZ,6,0,0,0,0,0,0,x
3M1K.1S6,3MKS6,87.03444986,FZBZZZZ,6,0,2,0,0,0,0,x
1M1N1T.6,MTN6,87.38276704925,FAWAZAZ,6,1,-3,1,0,1,0,x
1M1S1N.6,MSN6,87.423833718,FAXAZZZ,6,1,-2,1,0,0,0,x
4M.1N6,4MN6,87.496687222,FAZYZZZ,6,1,0,-1,0,0,0,x
2M1L.6,2ML6,87.496687222,FAZYZZB,6,1,0,-1,0,0,180,x
1M1N1K.6,MNK6,87.505970978,FAZAZZZ,6,1,0,1,0,0,0,x
x1M1N1K.6,MKN6,87.505970978,FAZAZZZ,6,1,0,1,0,0,0,x
1M1K1V.6,MKnu6,87.578824482,FABYZZZ,6,1,2,-1,0,0,0,x
2M2S.1K6,2(MS)K6,87.88607108,FBVZZZZ,6,2,-4,0,0,0,0,x
2M1T.6,2MT6,87.92714167125,FBWZZAZ,6,2,-3,0,0,1,0,x
2M1S.6,2MS6,87.96820834,FBXZZZZ,6,2,-2,0,0,0,0,x
2M1K.6,2MK6,88.0503456,FBZZZZZ,6,2,0,0,0,0,0,x
2S1N.6,2SN6,88.439729458,FCVAZZZ,6,3,-4,1,0,0,0,x
3M1T.1N6,3MTN6,88.47151629325,FCWYZAZ,6,3,-3,-1,0,1,0,x
3M1S.1N6,3MSN6,88.512582962,FCXYZZZ,6,3,-2,-1,0,0,0,x
1M1S1L.6,MSL6,88.512582962,FCXYZZB,6,3,-2,-1,0,0,180,x
x1S1N1K.6,NSK6,88.521866718,FCXAZZZ,6,3,-2,1,0,0,0,x
1S1N1K.6,SNK6,88.521866718,FCXAZZZ,6,3,-2,1,0,0,0,x
1M1K1L.6,MKL6,88.594720222,FCZYZZB,6,3,0,-1,0,0,180,x
3M1K.1N6,3MKN6,88.594720222,FCZYZZZ,6,3,0,-1,0,0,0,x
1M1S1T.6,MST6,88.94303741125,FDUZZAZ,6,4,-5,0,0,1,0,x
2S1M.6,2SM6,88.98410408,FDVZZZZ,6,4,-4,0,0,0,0,x
1M1S1K.6,MSK6,89.06624134,FDXZZZZ,6,4,-2,0,0,0,0,x
x1M1S1K.6,SKM6,89.06624134,FDXZZZZ,6,4,-2,0,0,0,0,x
2K1M.6,2KM6,89.1483786,FDZZZZZ,6,4,0,0,0,0,0,x
2M1S1T.1N6,2MSTN6,89.48741203325,FEUYZAZ,6,5,-5,-1,0,1,0,x
2M2S.1N6,2(MS)N6,89.528478702,FEVYZZZ,6,5,-4,-1,0,0,0,x
2M1S1K.1N6,2MSKN6,89.610615962,FEXYZZZ,6,5,-2,-1,0,0,0,x
S6,S6,89.99999982,FFTZZZZ,6,6,-6,0,0,0,0,x
2M1N1o.7,2MNO7,100.350973578,GXZAZZY,7,-2,0,1,0,0,270,x
3M1q.7,3MQ7,100.350973578,GXZAZZY,7,-2,0,1,0,0,270,x
4M.1k7,4MK7,100.8953482,GYZZZZY,7,-1,0,0,0,0,270,x
2N1M1k.7,2NMK7,100.904631956,GYZBZZA,7,-1,0,2,0,0,90,x
1M1S1N1o.7,MNSO7,101.366869318,GZXAZZY,7,0,-2,1,0,0,270,x
M7,M7,101.4443647,GZZZZZB,7,0,0,0,0,0,180,g
aM7,aM7,101.449006578,GZZAZZA,7,0,0,1,0,0,90,g
2M1N1k.7,2MNK7,101.449006578,GZZAZZA,7,0,0,1,0,0,90,x
1M1N1K1o.7,MNKO7,101.449006578,GZZAZZA,7,0,0,1,0,0,90,x
2M1S1o.7,2MSO7,101.91124394,GAXZZZY,7,1,-2,0,0,0,270,x
3M1k.7,3MK7,101.9933812,GAZZZZA,7,1,0,0,0,0,90,x
1M1S1K1o.7,MSKO7,103.00927694,GCXZZZY,7,3,-2,0,0,0,270,x
3M2N.1S8,3M2NS8,113.831771816,HVBBZZZ,8,-4,2,2,0,0,0,x
4M1N.1S8,4MNS8,114.376146438,HWBAZZZ,8,-3,2,1,0,0,0,x
5M.1K8,5MK8,114.8383838,HXZZZZZ,8,-2,0,0,0,0,0,x
2M2N.8,2(MN)8,114.847667556,HXZBZZZ,8,-2,0,2,0,0,0,x
5M.1S8,5MS8,114.92052106,HXBZZZZ,8,-2,2,0,0,0,0,x
2M2N1K.1S8,2(MN)KS8,114.929804816,HXBBZZZ,8,-2,2,2,0,0,0,x
3M1S1N.1K8,3MSNK8,115.309904918,HYXAZZZ,8,-1,-2,1,0,0,0,x
3M1N.8,3MN8,115.392042178,HYZAZZZ,8,-1,0,1,0,0,0,x
3M1V.8,3Mnu8,115.464895682,HYBYZZZ,8,-1,2,-1,0,0,0,x
3M1N1K.1S8,3MNKS8,115.474179438,HYBAZZZ,8,-1,2,1,0,0,0,x
4M1S.1K8,4MSK8,115.85427954,HZXZZZZ,8,0,-2,0,0,0,0,x
MA8,MA8,115.89534817,HZYZZZZ,8,0,-1,0,0,0,0,x
M8,M8,115.9364168,HZZZZZZ,8,0,0,0,0,0,0,x
4M1K.1S8,4MKS8,116.01855406,HZBZZZZ,8,0,2,0,0,0,0,x
2M1S1N.8,2MSN8,116.407937918,HAXAZZZ,8,1,-2,1,0,0,0,x
3M1L.8,3ML8,116.480791422,HAZYZZZ,8,1,0,-1,0,0,0,x
2M1N1K.8,2MNK8,116.490075178,HAZAZZZ,8,1,0,1,0,0,0,x
3M2S.1K8,3M2SK8,116.87017528,HBVZZZZ,8,2,-4,0,0,0,0,x
2S2N.8,2(NS)8,116.879459036,HBVBZZZ,8,2,-4,2,0,0,0,x
3M1T.8,3MT8,116.91124587125,HBWZZAZ,8,2,-3,0,0,1,0,x
3M1S.8,3MS8,116.95231254,HBXZZZZ,8,2,-2,0,0,0,0,x
3M1K.8,3MK8,117.0344498,HBZZZZZ,8,2,0,0,0,0,0,x
x2S1M1N.8,2SNM8,117.423833658,HCVAZZZ,8,3,-4,1,0,0,0,x
2S1M1N.8,2SMN8,117.423833658,HCVAZZZ,8,3,-4,1,0,0,0,x
2M1S1L.8,2MSL8,117.496687162,HCXYZZB,8,3,-2,-1,0,0,180,x
4M1S.1N8,4MSN8,117.496687162,HCXYZZZ,8,3,-2,-1,0,0,0,x
1M1S1N1K.8,MSNK8,117.505970918,HCXAZZZ,8,3,-2,1,0,0,0,x
2M1S1T.8,2MST8,117.92714161125,HDUZZAZ,8,4,-5,0,0,1,0,x
2M2S.8,2(MS)8,117.96820828,HDVZZZZ,8,4,-4,0,0,0,0,x
2M1S1K.8,2MSK8,118.05034554,HDXZZZZ,8,4,-2,0,0,0,0,x
2M2K.8,2(MK)8,118.1324828,HDZZZZZ,8,4,0,0,0,0,0,x
3S1N.8,3SN8,118.439729398,HETAZZZ,8,5,-6,1,0,0,0,x
2S1M1L.8,2SML8,118.512582902,HEVYZZB,8,5,-4,-1,0,0,180,x
2S1N1K.8,2SKN8,118.521866658,HEVAZZZ,8,5,-4,1,0,0,0,x
1M1S1K1L.8,MSKL8,118.594720162,HEXYZZB,8,5,-2,-1,0,0,180,x
3S1M.8,3SM8,118.98410402,HFTZZZZ,8,6,-6,0,0,0,0,x
2S1M1K.8,2SMK8,119.06624128,HFVZZZZ,8,6,-4,0,0,0,0,x
S8,S8,119.99999976,HHRZZZZ,8,8,-8,0,0,0,0,x
3M1N1o.9,3MNO9,129.335077778,IXZAZZY,9,-2,0,1,0,0,270,x
x2M2N1k.9,2M2NK9,129.888736156,IYZBZZA,9,-1,0,2,0,0,90,x
2M2N1k.9,2(MN)K9,129.888736156,IYZBZZA,9,-1,0,2,0,0,90,x
MA9,MA9,130.38740027,IZYZZZZ,9,0,-1,0,0,0,0,x
3M1N1k.9,3MNK9,130.433110778,IZZAZZA,9,0,0,1,0,0,90,x
4M1k.9,4MK9,130.9774854,IAZZZZA,9,1,0,0,0,0,90,x
3M1S1k.9,3MSK9,131.99338114,ICXZZZA,9,3,-2,0,0,0,90,x
5M1N.1S10,5MNS10,143.360250638,JWBAZZZ,10,-3,2,1,0,0,0,x
3M2N.10,3M2N10,143.831771756,JXZBZZZ,10,-2,0,2,0,0,0,x
6M.1S10,6MS10,143.90462526,JXBZZZZ,10,-2,2,0,0,0,0,x
3M2N1K.1S10,3M2NKS10,143.913909016,JXBBZZZ,10,-2,2,2,0,0,0,x
4M1S1N.1K10,4MSNK10,144.294009118,JYXAZZZ,10,-1,-2,1,0,0,0,x
4M1N.10,4MN10,144.376146378,JYZAZZZ,10,-1,0,1,0,0,0,x
4M1V.10,4Mnu10,144.448999882,JYBYZZZ,10,-1,2,-1,0,0,0,x
5M1S.1K10,5MSK10,144.83838374,JZXZZZZ,10,0,-2,0,0,0,0,x
M10,M10,144.920521,JZZZZZZ,10,0,0,0,0,0,0,x
5M1K.1S10,5MKS10,145.00265826,JZBZZZZ,10,0,2,0,0,0,0,x
3M1S1N.10,3MSN10,145.392042118,JAXAZZZ,10,1,-2,1,0,0,0,x
6M.1N10,6MN10,145.464895622,JAZYZZZ,10,1,0,-1,0,0,0,x
4M1L.10,4ML10,145.464895622,JAZYZZB,10,1,0,-1,0,0,180,x
3M1N1K.10,3MNK10,145.474179378,JAZAZZZ,10,1,0,1,0,0,0,x
2S2N1M.10,2(SN)M10,145.863563236,JBVBZZZ,10,2,-4,2,0,0,0,x
4M1S.10,4MS10,145.93641674,JBXZZZZ,10,2,-2,0,0,0,0,x
4M1K.10,4MK10,146.018554,JBZZZZZ,10,2,0,0,0,0,0,x
2M2S1N.10,2(MS)N10,146.407937858,JCVAZZZ,10,3,-4,1,0,0,0,x
5M1S.1N10,5MSN10,146.480791362,JCXYZZZ,10,3,-2,-1,0,0,0,x
2M1S1N1K.10,2MNSK10,146.490075118,JCXAZZZ,10,3,-2,1,0,0,0,x
3M2S.10,3M2S10,146.95231248,JDVZZZZ,10,4,-4,0,0,0,0,x
3M1S1K.10,3MSK10,147.03444974,JDXZZZZ,10,4,-2,0,0,0,0,x
3S1M1N.10,3SMN10,147.423833598,JETAZZZ,10,5,-6,1,0,0,0,x
4M2S.1N10,4M2SN10,147.496687102,JEVYZZZ,10,5,-4,-1,0,0,0,x
2S1M1N1K.10,2SMKN10,147.505970858,JEVAZZZ,10,5,-4,1,0,0,0,x
3S2M.10,3S2M10,147.96820822,JFTZZZZ,10,6,-6,0,0,0,0,x
2M2S1K.10,2(MS)K10,148.05034548,JFVZZZZ,10,6,-4,0,0,0,0,x
4M1S1k.11,4MSK11,160.97748534,KCXZZZA,11,3,-2,0,0,0,90,x
5M2N.1S12,5M2NS12,171.799980216,LVBBZZZ,12,-4,2,2,0,0,0,x
3M3N.12,3(MN)12,172.271501334,LWZCZZZ,12,-3,0,3,0,0,0,x
6M1N.1S12,6MNS12,172.344354838,LWBAZZZ,12,-3,2,1,0,0,0,x
4M2N.12,4M2N12,172.815875956,LXZBZZZ,12,-2,0,2,0,0,0,x
7M.1S12,7MS12,172.88872946,LXBZZZZ,12,-2,2,0,0,0,0,x
4M2N1K.1S12,4M2NKS12,172.898013216,LXBBZZZ,12,-2,2,2,0,0,0,x
5M1S1N.1K12,5MSNK12,173.278113318,LYXAZZZ,12,-1,-2,1,0,0,0,x
5M1N.12,5MN12,173.360250578,LYZAZZZ,12,-1,0,1,0,0,0,x
5M1V.12,5Mnu12,173.433104082,LYBYZZZ,12,-1,2,-1,0,0,0,x
6M1S.1K12,6MSK12,173.82248794,LZXZZZZ,12,0,-2,0,0,0,0,x
MA12,MA12,173.86355657,LZYZZZZ,12,0,-1,0,0,0,0,x
M12,M12,173.9046252,LZZZZZZ,12,0,0,0,0,0,0,x
4M1S1N.12,4MSN12,174.376146318,LAXAZZZ,12,1,-2,1,0,0,0,x
